datasetid,datasetgroup,datasetname,description,cellline,smallmolecule,technologies
LDS-1009,LDG-1008,SB590885 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of SB590885 at 10 uM of concentration.",,[u'SB590885'],KINOMEscan
LDS-1018,LDG-1017,GW843682 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of GW843682 at 10 uM of concentration.",,[u'GW843682X'],KINOMEscan
LDS-1017,LDG-1016,GSK461364 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of GSK461364 at 10 uM of concentration.",,[u'GSK-461364'],KINOMEscan
LDS-1006,LDG-1005,Sorafenib KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of Sorafenib at 10 uM of concentration.",,[u'Sorafenib'],KINOMEscan
LDS-1007,LDG-1006,HG-6-64-1 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of HG-6-64-1 at 10 uM of concentration.",,[u'HG6-64-1'],KINOMEscan
LDS-1023,LDG-1021,BX-912 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of BX-912 at 10 uM of concentration.",,[u'BX 912'],KINOMEscan
LDS-1025,LDG-1023,TAK-715 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of TAK-715 at 10 uM of concentration.",,[u'TAK-715'],KINOMEscan
LDS-1012,LDG-1011,PLX4032 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of PLX4032 at 10 uM of concentration.",,[u'Vemurafenib'],KINOMEscan
LDS-1015,LDG-1014,CP724714 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of CP724714 at 10 uM of concentration.",,[u'CP-724714'],KINOMEscan
LDS-1024,LDG-1022,AZD-6482 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of AZD-6482 at 10 uM of concentration.",,[u'AZD-6482'],KINOMEscan
LDS-1034,LDG-1031,JNK-9L KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of JNK-9L at 10 uM of concentration.",,[u'CHEMBL585951'],KINOMEscan
LDS-1028,LDG-1026,MLN8054 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of MLN8054 at 10 uM of concentration.",,[u'MLN-8054'],KINOMEscan
LDS-1022,LDG-1020,WH-4-023 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of WH-4-023 at 10 uM of concentration.",,[u'WH-4-023'],KINOMEscan
LDS-1020,LDG-1019,BMS345541 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of BMS345541 at 10 uM of concentration.",,[u'BMS-345541'],KINOMEscan
LDS-1033,LDG-1030,ZM-447439 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of ZM-447439 at 10 uM of concentration.",,[u'331771-20-1'],KINOMEscan
LDS-1014,LDG-1013,CP466722 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of CP466722 at 10 uM of concentration.",,[u'CP466722'],KINOMEscan
LDS-1030,LDG-1028,PD0332991 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of PD0332991 at 10 uM of concentration.",,[u'Palbociclib'],KINOMEscan
LDS-1074,LDG-1071,GW-5074 KiNativ -- dose response experiment,-,,[u'GW305074X'],KiNativ
LDS-1029,LDG-1027,AZD1152-HQPA KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of AZD1152-HQPA at 10 uM of concentration.",,[u'AZD-1152-HQPA'],KINOMEscan
LDS-1010,LDG-1009,PLX-4720 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of PLX-4720 at 10 uM of concentration.",,[u'PLX-4720'],KINOMEscan
